time,Strain_pin01,Strain_pin05,Status
1.0,49.0,0.0,0.0
1.0,49.0,0.0,0.0
1.0,49.0,0.0,0.0
1.0,49.0,0.0,0.0
1.0,49.0,0.0,0.0
1.0,49.0,0.0,0.0
1.0,49.0,0.0,0.0
1.0,50.0,0.0,0.0
1.0,51.0,0.0,0.0
2.0,394.0,0.0,0.0
2.0,141.0,0.0,0.0
2.0,68.0,0.0,0.0
2.0,54.0,0.0,0.0
3.0,52.0,0.0,0.0
3.0,51.0,0.0,0.0
3.0,51.0,0.0,0.0
3.0,52.0,0.0,0.0
3.0,52.0,0.0,0.0
3.0,53.0,0.0,0.0
3.0,54.0,0.0,0.0
3.0,54.0,0.0,0.0
3.0,54.0,0.0,0.0
3.0,54.0,0.0,0.0
4.0,53.0,0.0,0.0
4.0,52.0,0.0,0.0
4.0,51.0,0.0,0.0
4.0,50.0,0.0,0.0
4.0,50.0,0.0,0.0
4.0,51.0,0.0,0.0
4.0,51.0,0.0,0.0
4.0,51.0,0.0,0.0
4.0,51.0,0.0,0.0
4.0,51.0,0.0,0.0
5.0,51.0,0.0,0.0
5.0,51.0,0.0,0.0
5.0,51.0,0.0,0.0
5.0,51.0,0.0,0.0
5.0,52.0,0.0,0.0
5.0,53.0,0.0,0.0
5.0,53.0,0.0,0.0
5.0,54.0,0.0,0.0
5.0,54.0,0.0,0.0
5.0,54.0,0.0,0.0
6.0,54.0,0.0,0.0
6.0,52.0,0.0,0.0
6.0,52.0,0.0,0.0
6.0,50.0,0.0,0.0
6.0,50.0,0.0,0.0
6.0,51.0,0.0,0.0
6.0,51.0,0.0,0.0
6.0,52.0,0.0,0.0
6.0,51.0,0.0,0.0
6.0,51.0,0.0,0.0
7.0,51.0,0.0,0.0
7.0,51.0,0.0,0.0
7.0,50.0,0.0,0.0
7.0,51.0,0.0,0.0
7.0,52.0,0.0,0.0
7.0,53.0,0.0,0.0
7.0,53.0,0.0,0.0
7.0,54.0,0.0,0.0
7.0,53.0,0.0,0.0
7.0,53.0,0.0,0.0
8.0,53.0,0.0,0.0
8.0,53.0,0.0,0.0
8.0,51.0,0.0,0.0
8.0,50.0,0.0,0.0
8.0,50.0,0.0,0.0
8.0,51.0,0.0,0.0
8.0,51.0,0.0,0.0
8.0,51.0,0.0,0.0
8.0,51.0,0.0,0.0
8.0,51.0,0.0,0.0
9.0,51.0,0.0,0.0
9.0,51.0,0.0,0.0
9.0,51.0,0.0,0.0
9.0,51.0,0.0,0.0
9.0,52.0,0.0,0.0
9.0,52.0,0.0,0.0
9.0,54.0,0.0,0.0
9.0,54.0,0.0,0.0
9.0,54.0,0.0,0.0
9.0,54.0,0.0,0.0
10.0,53.0,0.0,0.0
10.0,53.0,0.0,0.0
10.0,52.0,0.0,0.0
10.0,51.0,0.0,0.0
10.0,50.0,0.0,0.0
10.0,51.0,0.0,0.0
10.0,51.0,0.0,0.0
10.0,51.0,0.0,0.0
10.0,51.0,0.0,0.0
10.0,51.0,0.0,0.0
11.0,51.0,0.0,0.0
11.0,51.0,0.0,0.0
11.0,51.0,0.0,0.0
11.0,51.0,0.0,0.0
11.0,52.0,0.0,0.0
11.0,50.0,0.0,0.0
11.0,53.0,0.0,0.0
11.0,57.0,0.0,0.0
11.0,54.0,0.0,0.0
11.0,54.0,0.0,0.0
12.0,54.0,0.0,0.0
12.0,53.0,1.0,0.0
12.0,50.0,0.0,0.0
12.0,51.0,0.0,0.0
12.0,52.0,0.0,0.0
12.0,51.0,0.0,0.0
12.0,51.0,0.0,0.0
12.0,51.0,3.0,0.0
12.0,50.0,0.0,0.0
12.0,49.0,0.0,0.0
13.0,53.0,0.0,0.0
13.0,51.0,2.0,0.0
13.0,50.0,0.0,0.0
13.0,50.0,0.0,0.0
13.0,51.0,0.0,0.0
13.0,52.0,0.0,0.0
13.0,54.0,0.0,0.0
13.0,55.0,0.0,0.0
13.0,55.0,0.0,0.0
14.0,54.0,0.0,0.0
14.0,56.0,0.0,0.0
14.0,53.0,0.0,0.0
14.0,52.0,0.0,0.0
14.0,50.0,0.0,0.0
14.0,48.0,0.0,0.0
14.0,50.0,0.0,0.0
14.0,53.0,0.0,0.0
14.0,49.0,0.0,0.0
14.0,50.0,0.0,0.0
15.0,50.0,0.0,0.0
15.0,50.0,0.0,0.0
15.0,50.0,0.0,0.0
15.0,50.0,0.0,0.0
15.0,48.0,0.0,0.0
15.0,52.0,0.0,0.0
15.0,50.0,0.0,0.0
15.0,54.0,0.0,0.0
15.0,55.0,0.0,0.0
15.0,54.0,0.0,0.0
16.0,55.0,0.0,0.0
16.0,53.0,0.0,0.0
16.0,51.0,0.0,0.0
16.0,50.0,0.0,0.0
16.0,50.0,0.0,0.0
16.0,50.0,3.0,0.0
16.0,51.0,0.0,0.0
16.0,52.0,0.0,0.0
16.0,51.0,0.0,0.0
16.0,48.0,0.0,0.0
17.0,49.0,0.0,0.0
17.0,49.0,0.0,0.0
17.0,48.0,0.0,0.0
17.0,50.0,0.0,0.0
17.0,51.0,0.0,0.0
17.0,54.0,0.0,0.0
17.0,51.0,0.0,0.0
17.0,53.0,0.0,0.0
17.0,54.0,1.0,0.0
17.0,51.0,0.0,0.0
18.0,52.0,0.0,0.0
18.0,51.0,3.0,0.0
18.0,50.0,0.0,0.0
18.0,50.0,0.0,0.0
18.0,50.0,0.0,0.0
18.0,53.0,0.0,0.0
18.0,53.0,0.0,0.0
18.0,51.0,0.0,0.0
18.0,51.0,3.0,0.0
18.0,51.0,0.0,0.0
19.0,52.0,0.0,0.0
19.0,51.0,0.0,0.0
19.0,51.0,0.0,0.0
19.0,50.0,0.0,0.0
19.0,53.0,0.0,0.0
19.0,53.0,0.0,0.0
19.0,54.0,0.0,0.0
19.0,54.0,0.0,0.0
19.0,55.0,0.0,0.0
19.0,53.0,0.0,0.0
20.0,54.0,0.0,0.0
20.0,53.0,0.0,0.0
20.0,53.0,0.0,0.0
20.0,50.0,0.0,0.0
20.0,50.0,0.0,0.0
20.0,50.0,0.0,0.0
20.0,51.0,0.0,0.0
20.0,52.0,0.0,0.0
20.0,56.0,20.0,0.0
20.0,103.0,64.0,0.0
21.0,120.0,99.0,0.0
21.0,378.0,482.0,0.0
21.0,500.0,563.0,0.0
21.0,586.0,644.0,0.0
21.0,586.0,603.0,0.0
21.0,576.0,588.0,0.0
21.0,628.0,669.0,1.0
21.0,693.0,738.0,1.0
21.0,667.0,663.0,0.0
21.0,728.0,784.0,1.0
22.0,788.0,838.0,1.0
22.0,817.0,855.0,1.0
22.0,833.0,869.0,1.0
22.0,839.0,860.0,1.0
22.0,843.0,870.0,1.0
22.0,797.0,790.0,1.0
22.0,811.0,849.0,1.0
22.0,808.0,826.0,1.0
22.0,804.0,821.0,1.0
22.0,791.0,811.0,1.0
23.0,814.0,848.0,1.0
23.0,764.0,757.0,1.0
23.0,270.0,5.0,0.0
23.0,106.0,0.0,0.0
23.0,64.0,0.0,0.0
23.0,58.0,0.0,0.0
23.0,56.0,0.0,0.0
23.0,55.0,0.0,0.0
23.0,51.0,0.0,0.0
23.0,68.0,28.0,0.0
24.0,54.0,0.0,0.0
24.0,51.0,0.0,0.0
24.0,53.0,0.0,0.0
24.0,51.0,3.0,0.0
24.0,53.0,0.0,0.0
24.0,51.0,0.0,0.0
24.0,51.0,0.0,0.0
24.0,52.0,0.0,0.0
24.0,53.0,0.0,0.0
24.0,51.0,0.0,0.0
25.0,50.0,0.0,0.0
25.0,52.0,0.0,0.0
25.0,54.0,0.0,0.0
25.0,54.0,0.0,0.0
25.0,55.0,0.0,0.0
25.0,365.0,489.0,0.0
25.0,599.0,735.0,1.0
25.0,337.0,208.0,0.0
25.0,365.0,383.0,0.0
26.0,447.0,507.0,0.0
26.0,468.0,491.0,0.0
26.0,540.0,596.0,0.0
26.0,618.0,674.0,1.0
26.0,609.0,604.0,0.0
26.0,682.0,732.0,1.0
26.0,664.0,680.0,1.0
26.0,701.0,733.0,1.0
26.0,725.0,763.0,1.0
26.0,699.0,704.0,1.0
27.0,684.0,689.0,1.0
27.0,670.0,681.0,1.0
27.0,666.0,669.0,1.0
27.0,625.0,629.0,0.0
27.0,596.0,601.0,0.0
27.0,612.0,640.0,0.0
27.0,528.0,490.0,0.0
27.0,549.0,587.0,0.0
27.0,479.0,456.0,0.0
27.0,481.0,498.0,0.0
28.0,534.0,578.0,0.0
28.0,554.0,581.0,0.0
28.0,545.0,558.0,0.0
28.0,563.0,580.0,0.0
28.0,416.0,334.0,0.0
28.0,509.0,555.0,0.0
28.0,556.0,604.0,0.0
28.0,532.0,547.0,0.0
28.0,564.0,595.0,0.0
28.0,613.0,663.0,0.0
29.0,593.0,603.0,0.0
29.0,428.0,356.0,0.0
29.0,155.0,0.0,0.0
29.0,74.0,0.0,0.0
29.0,58.0,0.0,0.0
29.0,55.0,0.0,0.0
29.0,54.0,1.0,0.0
29.0,52.0,0.0,0.0
29.0,51.0,0.0,0.0
29.0,50.0,0.0,0.0
30.0,50.0,0.0,0.0
30.0,50.0,0.0,0.0
30.0,53.0,0.0,0.0
30.0,52.0,1.0,0.0
30.0,51.0,0.0,0.0
30.0,53.0,0.0,0.0
30.0,370.0,501.0,0.0
30.0,596.0,730.0,1.0
30.0,613.0,625.0,0.0
30.0,612.0,640.0,0.0
31.0,675.0,731.0,1.0
31.0,733.0,776.0,1.0
31.0,756.0,783.0,1.0
31.0,766.0,792.0,1.0
31.0,772.0,794.0,1.0
31.0,739.0,742.0,1.0
31.0,715.0,729.0,1.0
31.0,726.0,745.0,1.0
31.0,694.0,699.0,1.0
31.0,708.0,729.0,1.0
32.0,724.0,752.0,1.0
32.0,726.0,752.0,1.0
32.0,721.0,737.0,1.0
32.0,751.0,784.0,1.0
32.0,763.0,788.0,1.0
32.0,745.0,755.0,1.0
32.0,741.0,761.0,1.0
32.0,737.0,754.0,1.0
32.0,736.0,752.0,1.0
32.0,742.0,763.0,1.0
33.0,752.0,774.0,1.0
33.0,761.0,783.0,1.0
33.0,767.0,793.0,1.0
33.0,746.0,746.0,1.0
33.0,764.0,795.0,1.0
33.0,766.0,788.0,1.0
33.0,742.0,746.0,1.0
33.0,743.0,762.0,1.0
33.0,735.0,750.0,1.0
33.0,735.0,752.0,1.0
34.0,749.0,783.0,1.0
34.0,767.0,795.0,1.0
34.0,753.0,767.0,1.0
34.0,760.0,788.0,1.0
34.0,778.0,806.0,1.0
34.0,772.0,784.0,1.0
34.0,783.0,809.0,1.0
34.0,742.0,738.0,1.0
34.0,781.0,814.0,1.0
34.0,797.0,822.0,1.0
35.0,728.0,710.0,1.0
35.0,775.0,816.0,1.0
35.0,788.0,815.0,1.0
35.0,806.0,838.0,1.0
35.0,812.0,833.0,1.0
35.0,813.0,838.0,1.0
35.0,819.0,840.0,1.0
35.0,827.0,850.0,1.0
35.0,830.0,851.0,1.0
35.0,822.0,843.0,1.0
36.0,813.0,831.0,1.0
36.0,805.0,827.0,1.0
36.0,809.0,830.0,1.0
36.0,817.0,837.0,1.0
36.0,783.0,781.0,1.0
36.0,788.0,807.0,1.0
36.0,764.0,769.0,1.0
36.0,796.0,826.0,1.0
36.0,782.0,798.0,1.0
37.0,794.0,809.0,1.0
37.0,804.0,832.0,1.0
37.0,774.0,773.0,1.0
37.0,771.0,786.0,1.0
37.0,783.0,803.0,1.0
37.0,797.0,824.0,1.0
37.0,798.0,819.0,1.0
37.0,806.0,828.0,1.0
37.0,814.0,837.0,1.0
37.0,806.0,821.0,1.0
38.0,803.0,823.0,1.0
38.0,815.0,838.0,1.0
38.0,823.0,844.0,1.0
38.0,797.0,806.0,1.0
38.0,820.0,854.0,1.0
38.0,797.0,803.0,1.0
38.0,807.0,829.0,1.0
38.0,817.0,835.0,1.0
38.0,816.0,834.0,1.0
38.0,820.0,839.0,1.0
39.0,823.0,840.0,1.0
39.0,817.0,837.0,1.0
39.0,818.0,847.0,1.0
39.0,824.0,848.0,1.0
39.0,824.0,843.0,1.0
39.0,828.0,852.0,1.0
39.0,829.0,852.0,1.0
39.0,832.0,851.0,1.0
39.0,832.0,850.0,1.0
39.0,831.0,853.0,1.0
40.0,831.0,849.0,1.0
40.0,831.0,851.0,1.0
40.0,835.0,853.0,1.0
40.0,835.0,853.0,1.0
40.0,835.0,856.0,1.0
40.0,835.0,855.0,1.0
40.0,836.0,854.0,1.0
40.0,836.0,857.0,1.0
40.0,834.0,855.0,1.0
40.0,834.0,851.0,1.0
41.0,836.0,854.0,1.0
41.0,819.0,827.0,1.0
41.0,736.0,712.0,1.0
41.0,587.0,519.0,0.0
41.0,206.0,8.0,0.0
41.0,83.0,0.0,0.0
41.0,57.0,0.0,0.0
41.0,52.0,0.0,0.0
41.0,52.0,0.0,0.0
41.0,52.0,1.0,0.0
42.0,52.0,2.0,0.0
42.0,51.0,0.0,0.0
42.0,54.0,0.0,0.0
42.0,54.0,0.0,0.0
42.0,54.0,0.0,0.0
42.0,55.0,0.0,0.0
42.0,55.0,0.0,0.0
42.0,55.0,0.0,0.0
42.0,56.0,1.0,0.0
42.0,55.0,0.0,0.0
43.0,52.0,0.0,0.0
43.0,50.0,0.0,0.0
43.0,51.0,3.0,0.0
43.0,51.0,2.0,0.0
43.0,51.0,0.0,0.0
43.0,51.0,0.0,0.0
43.0,50.0,0.0,0.0
43.0,53.0,0.0,0.0
43.0,106.0,96.0,0.0
43.0,189.0,214.0,0.0
44.0,461.0,596.0,0.0
44.0,597.0,684.0,1.0
44.0,642.0,680.0,1.0
44.0,719.0,777.0,1.0
44.0,694.0,708.0,1.0
44.0,738.0,765.0,1.0
44.0,754.0,774.0,1.0
44.0,632.0,577.0,0.0
44.0,654.0,688.0,1.0
44.0,712.0,757.0,1.0
45.0,674.0,685.0,1.0
45.0,697.0,728.0,1.0
45.0,728.0,767.0,1.0
45.0,709.0,716.0,1.0
45.0,704.0,719.0,1.0
45.0,705.0,724.0,1.0
45.0,727.0,749.0,1.0
45.0,694.0,692.0,1.0
45.0,709.0,731.0,1.0
45.0,719.0,742.0,1.0
46.0,683.0,685.0,1.0
46.0,715.0,745.0,1.0
46.0,703.0,713.0,1.0
46.0,684.0,680.0,1.0
46.0,719.0,759.0,1.0
46.0,715.0,731.0,1.0
46.0,732.0,749.0,1.0
46.0,719.0,731.0,1.0
46.0,686.0,688.0,1.0
46.0,686.0,705.0,1.0
47.0,689.0,700.0,1.0
47.0,710.0,735.0,1.0
47.0,719.0,741.0,1.0
47.0,670.0,663.0,0.0
47.0,713.0,753.0,1.0
47.0,698.0,703.0,1.0
47.0,378.0,222.0,0.0
47.0,137.0,0.0,0.0
47.0,68.0,0.0,0.0
47.0,54.0,0.0,0.0
48.0,53.0,0.0,0.0
48.0,54.0,0.0,0.0
48.0,54.0,0.0,0.0
48.0,56.0,0.0,0.0
48.0,54.0,0.0,0.0
48.0,54.0,0.0,0.0
48.0,54.0,0.0,0.0
48.0,53.0,0.0,0.0
48.0,52.0,0.0,0.0
49.0,50.0,0.0,0.0
49.0,50.0,0.0,0.0
49.0,51.0,0.0,0.0
49.0,51.0,0.0,0.0
49.0,51.0,0.0,0.0
49.0,52.0,0.0,0.0
49.0,51.0,0.0,0.0
49.0,51.0,0.0,0.0
49.0,51.0,0.0,0.0
49.0,51.0,0.0,0.0
50.0,51.0,0.0,0.0
50.0,51.0,0.0,0.0
50.0,53.0,0.0,0.0
50.0,53.0,0.0,0.0
50.0,54.0,0.0,0.0
50.0,55.0,0.0,0.0
50.0,54.0,0.0,0.0
50.0,54.0,0.0,0.0
50.0,54.0,0.0,0.0
50.0,53.0,0.0,0.0
51.0,51.0,0.0,0.0
51.0,50.0,0.0,0.0
51.0,50.0,0.0,0.0
51.0,51.0,0.0,0.0
51.0,51.0,0.0,0.0
51.0,51.0,0.0,0.0
51.0,51.0,0.0,0.0
51.0,52.0,0.0,0.0
51.0,51.0,0.0,0.0
51.0,51.0,0.0,0.0
52.0,51.0,0.0,0.0
52.0,52.0,0.0,0.0
52.0,53.0,0.0,0.0
52.0,54.0,0.0,0.0
52.0,54.0,0.0,0.0
52.0,54.0,0.0,0.0
52.0,54.0,0.0,0.0
52.0,55.0,0.0,0.0
52.0,54.0,0.0,0.0
52.0,53.0,0.0,0.0
53.0,52.0,0.0,0.0
53.0,50.0,0.0,0.0
53.0,51.0,0.0,0.0
53.0,51.0,0.0,0.0
53.0,52.0,0.0,0.0
53.0,51.0,0.0,0.0
53.0,51.0,0.0,0.0
53.0,51.0,0.0,0.0
53.0,52.0,0.0,0.0
53.0,52.0,0.0,0.0
54.0,51.0,0.0,0.0
54.0,51.0,0.0,0.0
54.0,99.0,78.0,0.0
54.0,158.0,158.0,0.0
54.0,140.0,115.0,0.0
54.0,146.0,127.0,0.0
54.0,205.0,211.0,0.0
54.0,329.0,391.0,0.0
54.0,375.0,423.0,0.0
54.0,465.0,524.0,0.0
55.0,530.0,575.0,0.0
55.0,623.0,684.0,1.0
55.0,557.0,535.0,0.0
55.0,532.0,534.0,0.0
55.0,493.0,482.0,0.0
55.0,522.0,552.0,0.0
55.0,553.0,571.0,0.0
55.0,559.0,589.0,0.0
55.0,553.0,567.0,0.0
55.0,536.0,550.0,0.0
56.0,609.0,669.0,1.0
56.0,656.0,694.0,1.0
56.0,677.0,707.0,1.0
56.0,699.0,724.0,1.0
56.0,690.0,696.0,1.0
56.0,679.0,685.0,1.0
56.0,576.0,538.0,0.0
56.0,488.0,458.0,0.0
56.0,620.0,705.0,1.0
56.0,773.0,871.0,1.0
57.0,825.0,875.0,1.0
57.0,672.0,605.0,0.0
57.0,657.0,667.0,1.0
57.0,591.0,563.0,0.0
57.0,669.0,725.0,1.0
57.0,705.0,734.0,1.0
57.0,661.0,665.0,0.0
57.0,644.0,655.0,0.0
57.0,624.0,627.0,0.0
57.0,611.0,620.0,0.0
58.0,613.0,623.0,0.0
58.0,596.0,597.0,0.0
58.0,595.0,610.0,0.0
58.0,619.0,644.0,0.0
58.0,605.0,613.0,0.0
58.0,599.0,619.0,0.0
58.0,602.0,616.0,0.0
58.0,601.0,613.0,0.0
58.0,616.0,640.0,0.0
58.0,605.0,613.0,0.0
59.0,612.0,629.0,0.0
59.0,615.0,635.0,0.0
59.0,560.0,547.0,0.0
59.0,533.0,536.0,0.0
59.0,552.0,583.0,0.0
59.0,563.0,579.0,0.0
59.0,576.0,597.0,0.0
59.0,586.0,608.0,0.0
59.0,599.0,621.0,0.0
59.0,591.0,602.0,0.0
60.0,559.0,568.0,0.0
60.0,535.0,546.0,0.0
60.0,564.0,577.0,0.0
60.0,617.0,668.0,1.0
60.0,715.0,778.0,1.0
60.0,757.0,792.0,1.0
60.0,767.0,789.0,1.0
60.0,791.0,826.0,1.0
60.0,813.0,843.0,1.0
61.0,822.0,849.0,1.0